2022-05-18 14:38:28,771 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-05-18 14:38:28,772 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-05-18 14:38:46,161 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-18 14:38:46,162 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-05-18 14:38:46,163 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-18 14:38:53,154 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-18 14:39:51,117 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-18 14:42:23,622 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-18 14:42:31,213 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-18 14:42:33,719 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-18 14:42:39,772 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-05-18 14:42:43,864 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-05-18 14:45:17,368 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-05-18 14:45:17,376 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-05-18 14:45:17,378 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-05-18 14:45:17,379 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-05-18 14:45:30,084 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
